NO,工号-箱头-分箱,梯种,物料编码,物料描述,特性值编码,特性值描述,数量,箱头作业指令产出日期,物料要求送货日期,生产线,生产序,备注
208,17G077692-B03-01,HGP-S-1050-CO105,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
209,18G078218-B03-01,HGE-Ⅲ-825-CO90,Z151263887,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
210,17G080738-B03-01,LGE-630-CO60,A571258674,上横梁装配_C0099960_A_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
211,17G070949-B03-01,HGE-Ⅲ-1050-CO90,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
212,17G080739-B03-01,LGE-630-CO60,A571258673,上横梁装配_C0099960_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
213,16G066831-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
214,19G007652-B03-01,MCA-Ⅱ-1600-CO150,Z151264024,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
215,18G093933-B03-01,LCA-Ⅱ-1050-CO60,A571258935,上横梁装配_C0098880_A_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
216,18G113816-B03-01,MCA-Ⅱ-1050-CO105,Z151263892,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
217,18G093935-B08-01,MCA-Ⅱ-1600-CO150,Z172262412,轿底加强梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
218,18G072673-B03-01,HGE-Ⅲ-1050-CO90,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
219,18G016371-B03-01,LGE-825-CO60,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
220,16G005030-B03-01,LCA-Ⅱ-825-CO90,A571258946,上横梁装配_C0098879_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
221,18G047703-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
222,16G066891-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
223,18G072674-B03-01,HGE-Ⅲ-1050-CO90,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
224,17G080742-B03-01,LGE-630-CO60,A571258673,上横梁装配_C0099960_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
225,18G091140-B03-01,HGE-Ⅲ-1050-CO105,Z151263874,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
226,18G096004-B03-01,HGE-Ⅲ-825-CO90,Z151263934,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
227,18G016396-B03-01,LGE-825-CO60,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
228,18G012424-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
229,18G109960-B03-01,HGE-Ⅲ-1050-CO105,Z151264051,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
230,17G070955-B03-01,HGE-Ⅲ-825-CO90,Z151264067,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
231,16G066830-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
232,17G062284-B03-01,HGE-Ⅲ-1050-CO105,Z151263915,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
233,19G004839-B03-01,LGE-825-CO90,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
234,17G070954-B03-01,HGE-Ⅲ-825-CO90,Z151263986,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
235,18G024815-B03-01,HGE-Ⅲ-1050-CO105,Z151263880,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
236,18G039251-B03-01,MCA-Ⅱ-1050-CO150,Z151263977,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
237,18G078221-B03-01,HGE-Ⅲ-1050-CO90,Z151263874,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
238,19G037861-B03-01,LGE-1050-CO60,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
239,17G093768-B03-01,LGE-630-CO60,A571259269,上横梁装配_C0104085_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
240,16G066813-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
241,18G039250-B03-01,MCA-Ⅱ-1050-CO150,Z151263977,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
242,18G065811-B03-01,HGE-Ⅲ-1050-CO90,Z151263879,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
243,18G074902-B03-01,MCA-Ⅱ-1050-CO105,Z151263881,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
244,17G062282-B03-01,HGE-Ⅲ-1050-CO105,Z151263915,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
245,18G060355-B03-01,HGE-S-825-CO105,Z151264047,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
246,16G066875-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
247,18G108431-B03-01,HGP-S-825-CO105,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
248,18G089227-B03-01,HGE-Ⅲ-1050-CO105,Z151263881,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
249,16G005031-B03-01,LCA-Ⅱ-825-CO90,A571258946,上横梁装配_C0098879_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
250,18G012437-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
251,16G066893-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
252,18G074903-B03-01,MCA-Ⅱ-900-CO105,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
253,18G108435-B03-01,HGP-S-825-CO105,Z151263887,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
254,18G078220-B03-01,HGE-Ⅲ-825-CO90,Z151263887,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
255,18G113309-B03-01,LCA-Ⅱ-1050-CO105,A571258949,上横梁装配_C0098879_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
256,19G007652-B08-01,MCA-Ⅱ-1600-CO150,Z172262103,轿底加强梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
257,19G035169-B03-01,LCA-Ⅱ-825-CO60,A571258946,上横梁装配_C0098879_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
258,18G091165-B03-01,HGE-Ⅲ-825-CO105,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
259,17G082709-B03-01,HGE-Ⅲ-825-CO60,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
260,18G120830-B03-01,MCA-Ⅱ-825-CO120,Z151264096,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
261,18G060353-B03-01,HGE-S-825-CO105,Z151264047,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
262,18G091139-B03-01,HGE-Ⅲ-825-CO105,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
263,17G085631-B03-01,LCA-Ⅱ-1050-CO105,A571259269,上横梁装配_C0104085_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
264,18G108432-B03-01,HGP-S-1050-CO105,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
265,18G060352-B03-01,HGE-S-825-CO105,Z151264217,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
266,18G108439-B03-01,HGP-S-825-CO105,Z151263887,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
267,17G085630-B03-01,LCA-Ⅱ-1050-CO105,A571258943,上横梁装配_C0098879_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
268,18G120833-B03-01,MCA-Ⅱ-825-CO120,Z151264096,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
269,18G119861-B03-01,LGE-630-CO60,A571259269,上横梁装配_C0104085_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
270,16G005032-B03-01,LCA-Ⅱ-825-CO90,A571258946,上横梁装配_C0098879_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
271,18G120829-B03-01,MCA-Ⅱ-1050-CO120,Z151264065,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
272,18G047701-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
273,17G080741-B03-01,LGE-630-CO60,A571258674,上横梁装配_C0099960_A_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
274,19G033601-B03-01,VGE-Ⅱ-320-2S24,A571258964,"上横梁装配_C0106983_E_轿内宽800_轿内宽800,限速器在三象限",,,1,2019/6/9 0:00,2019/6/6,,,
275,18G113817-B03-01,MCA-Ⅱ-1050-CO105,Z151263881,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
276,18G132221-B03-01,MCA-Ⅱ-1050-CO105,Z151263912,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
277,18G039252-B03-01,MCA-Ⅱ-1050-CO150,Z151263977,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
278,18G132220-B03-01,MCA-Ⅱ-1050-CO105,Z151263895,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
279,18G096006-B03-01,HGE-Ⅲ-825-CO90,Z151264002,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
280,19G007650-B08-01,MCA-Ⅱ-1150-CO150,Z172262071,轿底加强梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
281,18G108443-B03-01,HGP-S-825-CO105,Z151263887,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
282,18G012425-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
283,18G012427-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
284,18G082613-B03-01,LGE-450-CO60,A571259268,上横梁装配_C0104085_A_轿内宽1000,,,1,2019/6/9 0:00,2019/6/6,,,
285,18G082614-B03-01,LGE-450-CO60,A571259268,上横梁装配_C0104085_A_轿内宽1000,,,1,2019/6/9 0:00,2019/6/6,,,
286,18G072662-B03-01,HGE-Ⅲ-1050-CO90,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
287,18G057560-B03-01,LGE-825-CO60,A571258945,上横梁装配_C0098879_D_轿内宽1300,,,1,2019/6/9 0:00,2019/6/6,,,
288,16G066890-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
289,18G093935-B03-01,MCA-Ⅱ-1600-CO150,Z151264668,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
290,18G052588-B03-01,MCA-Ⅱ-1050-2S120,Z151264116,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
291,18G078219-B03-01,HGE-Ⅲ-1050-CO90,Z151263874,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
292,18G120832-B03-01,MCA-Ⅱ-1050-CO120,Z151264065,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
293,18G091138-B03-01,HGE-Ⅲ-1050-CO105,Z151263874,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
294,18G118992-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
295,18G016370-B03-01,LGE-825-CO60,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
296,18G118990-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
297,18G096008-B03-01,HGE-Ⅲ-825-CO90,Z151264002,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
298,19G024771-B03-01,LGE-1050-CO60,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
299,18G108437-B03-01,HGP-S-825-CO105,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
300,18G016372-B03-01,LGE-825-CO60,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
301,19G035176-B03-01,MCA-Ⅱ-1050-CO90,Z151264234,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
302,19G007651-B08-01,MCA-Ⅱ-1150-CO150,Z172262071,轿底加强梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
303,18G039253-B03-01,MCA-Ⅱ-1050-CO150,Z151263984,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
304,18G060354-B03-01,HGE-S-825-CO105,Z151264217,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
305,18G109573-B03-01,LGE-630-CO60,A571259269,上横梁装配_C0104085_B_轿内宽1100,,,1,2019/6/9 0:00,2019/6/6,,,
306,17G070948-B03-01,HGE-Ⅲ-825-CO90,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
307,18G089233-B03-01,HGE-Ⅲ-1050-CO105,Z151263881,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
308,18G052590-B03-01,MCA-Ⅱ-1050-2S120,Z151264476,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
309,19R000612-B03-01,UCA-825-CO61,A571259276,立柱总装,,,1,2019/6/10 0:00,2019/6/6,,,
310,19R000611-B03-01,MCA-825-CO61,A571259272,立柱装配,,,1,2019/6/10 0:00,2019/6/6,,,
311,,,,,,,,,,,,
312,,,,,,,,,,,,
313,,,,,,,,,,,,
314,,,,,,,,,,,,
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,,,,,,,,,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,,,,,,,,,,,,
322,,,,,,,,,,,,
323,,,,,,,,,,,,
324,,,,,,,,,,,,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
328,,,,,,,,,,,,
329,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,,,,,,,,,,
332,,,,,,,,,,,,
333,,,,,,,,,,,,
334,,,,,,,,,,,,
335,,,,,,,,,,,,
311,18G093995-B03-01,MCA-Ⅱ-1600-CO150,A521258494,立柱组合,,,2,2019/6/9 0:00,2019/6/6,,,
