工号,层级,物料编码,物料描述,批次,特性值
Z161264306,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264308,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264308,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264308,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264310,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264310,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264315,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264315,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264315,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264329,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264329,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264329,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264362,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264362,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264372,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264372,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264382,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264382,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264385,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264385,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264385,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264390,1,A599013800,下导靴装配_13529850_A_SP-8/13ML_T89/B,,
Z161264390,2,A599013784,导靴装配_13529477_A_SP-8/13ML_T89/B,,
Z161264390,2,R722089564,一体式导靴支架_13529475_A_δ=4.5mm_喷涂钢板_Q235-A,,
Z161264393,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
Z161264393,2,A599407062,导靴罩装配_16541529_A_SP-13MD1,,
Z161264410,1,A599000049,导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1,,
