"工号-箱头-分箱","梯种","物料编码","物料描述","数量","箱头作业指令产出日期","物料要求送货日期","生产线","序号","导靴","导靴物料描述","提拉杆","提拉杆物料描述"
"18G096004-B03-01","HGE-Ⅲ-825-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","2","3","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G096006-B03-01","HGE-Ⅲ-825-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","2","4","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G096008-B03-01","HGE-Ⅲ-825-CO90","Z161267861","立柱组合","1","2019/6/9 0:00","2019/6/6","2","5","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G132220-B03-01","MCA-Ⅱ-1050-CO105","Z161268012","立柱组合","1","2019/6/9 0:00","2019/6/6","1","37","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"18G078219-B03-01","HGE-Ⅲ-1050-CO90","Z161268088","立柱组合","1","2019/6/9 0:00","2019/6/6","1","44","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010606","提拉杆连接件组合件_13529946_C/84070111_A"
"17G062283-B03-01","HGE-Ⅲ-1050-CO105","Z161267835","立柱组合","1","2019/6/9 0:00","2019/6/6","2","23","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G108435-B03-01","HGP-S-825-CO105","Z161267845","立柱组合","1","2019/6/9 0:00","2019/6/6","2","29","A599000050","导靴罩装配_16004547_A_82288727_A_SP-8MC1_SP-8MC1","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G039252-B03-01","MCA-Ⅱ-1050-CO150","Z161267875","立柱组合","1","2019/6/9 0:00","2019/6/6","1","60","A599405748","滚轮导靴装配_C0083111_B_适用T89/B、T114/B导轨","P121010607","提拉杆连接件组合件_13529946_D/84070111_A"
"18G132221-B03-01","MCA-Ⅱ-1050-CO105","Z161268106","立柱组合","1","2019/6/9 0:00","2019/6/6","2","11","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
"19G035175-B03-01","MCA-Ⅱ-1050-CO90","Z161267885","立柱组合","1","2019/6/9 0:00","2019/6/6","1","36","A599000049","导靴罩装配_16004041_A_22000460_A_SP-13MD1_SP-13MD1","P121010610","提拉杆连接件组合件_13529946_F/84070111_A"
